code,prefname,name,url,stat2015_total,stat2015_dencity,stat2015_ave_age,stat2015_mean_age,stat2015_under15,stat2015_15to64,stat2015_over65,stat2015_per15,stat2015_per15to64,stat2015_per65
28217,兵庫県,兵庫県川西市,http://www.city.kawanishi.hyogo.jp/gyozaisei/017646.html,156375,"2,926.2",47.5,48.1,20347,88809,47024,13.02791651,56.86323473,30.10884876
28219,兵庫県,兵庫県三田市,http://www.city.sanda.lg.jp/shiseijouhou/sonohoka/opendata/datateikyo.html,112691,535.8,44.6,46.6,14634,73966,23952,13.00199019,65.71717961,21.28083019
29201,奈良県,奈良県奈良市,http://www.city.nara.lg.jp/www/contents/1400827150843/index.html,360310,"1,301.0",47.3,48.3,42796,212572,102416,11.96140688,59.41350088,28.62509223
29204,奈良県,奈良県天理市,http://www.city.tenri.nara.jp/kakuka/soumubu/jouhouseisakuka/1425528872138.html,67398,779.9,43.9,43.5,8441,42135,16156,12.64910388,63.14062219,24.21027393
29209,奈良県,奈良県生駒市,http://www.city.ikoma.lg.jp/opendata/0opendata_1.html,118233,"2,224.5",45.3,45.9,17360,69444,30293,14.82531576,59.30467903,25.87000521
29211,奈良県,奈良県葛城市,"http://www.city.katsuragi.nara.jp/index.cfm/21,16780,68,html",36635,"1,086.4",45.2,45.3,5568,21308,9699,15.22351333,58.25837321,26.51811347
29212,奈良県,奈良県宇陀市,http://www.city.uda.nara.jp/kouhoujouhou/databank/od.html,31105,125.7,52.4,57.2,2997,16718,11386,9.636346098,53.75389859,36.60975531
30202,和歌山県,和歌山県海南市,http://www.city.kainan.lg.jp/business/1411525750773.html,51860,513.2,50.7,53.4,5659,28330,17625,10.96407951,54.88820863,34.14771186
30203,和歌山県,和歌山県橋本市,http://www.city.hashimoto.lg.jp/shisei/hashimotoshinitsuite/toukei/opendata/,63621,487.3,48,50.5,7770,37244,18434,12.2462489,58.70003783,29.05371328
32201,島根県,島根県松江市,http://ntoukei.city.matsue.shimane.jp/,206230,359.9,47,47.9,26384,117497,56386,13.17441216,58.67017532,28.15541252
32206,島根県,島根県安来市,http://yasugi.od-db.jp/,39528,93.9,50.8,54.2,4798,20593,13816,12.23761063,52.52378402,35.23860535
33100,岡山県,岡山県岡山市,http://www.okayama-opendata.jp/,719474,910.8,44.7,44.2,97043,435475,175013,13.71572412,61.54853992,24.73573596
33202,岡山県,岡山県倉敷市,http://dataeye.jp/,477118,"1,341.6",45.5,45.4,64463,270529,122037,14.10479423,59.1929615,26.70224428
33203,岡山県,岡山県津山市,https://www.city.tsuyama.lg.jp/life/index2.php?id=5530,103746,204.9,47.1,48,13991,59399,29663,13.57650917,57.639273,28.78421783
33204,岡山県,岡山県玉野市,http://www.city.tamano.lg.jp/docs/2014030500018/,60736,586.4,50.7,54,6363,32729,21440,10.51179541,54.06892222,35.41928236
33205,岡山県,岡山県笠岡市,http://dataeye.jp/,50568,370.8,50.9,53.9,5534,27349,17519,10.97972303,54.26173565,34.75854133
33207,岡山県,岡山県井原市,http://dataeye.jp/,41390,170.0,50.7,53.5,4658,22465,14247,11.25936669,54.30263476,34.43799855
33208,岡山県,岡山県総社市,http://dataeye.jp/,66855,315.5,45.9,46,9488,38696,18175,14.2979852,58.31311503,27.38889977
33209,岡山県,岡山県高梁市,http://dataeye.jp/,32075,58.6,52.9,57.5,2993,16496,12243,9.432118997,51.98537754,38.58250347
33210,岡山県,岡山県新見市,http://dataeye.jp/,30658,38.6,53.2,58,3269,15420,11851,10.70399476,50.49115914,38.8048461
33216,岡山県,岡山県浅口市,http://dataeye.jp/,34235,515.1,50.3,53,3915,18346,11914,11.4557425,53.68251646,34.86174104
33423,岡山県,岡山県早島町,http://dataeye.jp/,12154,"1,595.0",45.4,45.1,1885,6881,3345,15.56436298,56.81611758,27.61951945
33445,岡山県,岡山県里庄町,http://www.okayama-opendata.jp/,10929,893.6,47.3,48.1,1515,6154,3256,13.86727689,56.32951945,29.80320366
33461,岡山県,岡山県矢掛町,http://dataeye.jp/,14201,156.7,52,55.9,1532,7417,5248,10.79101219,52.24343171,36.9655561
34100,広島県,広島県広島市,http://www.city.hiroshima.lg.jp/www/opendatamain/index.html,1194034,"1,317.1",44.4,44.4,166427,730388,279311,14.15043966,62.10116943,23.7483909
34202,広島県,広島県呉市,https://www.city.kure.lg.jp/soshiki/36/opendata-index.html,228552,647.8,49.5,51.3,25905,124928,76204,11.41003449,55.02539234,33.56457318
34212,広島県,広島県東広島市,http://www.city.higashihiroshima.lg.jp/opendata/index.html,192907,303.7,42.9,42.2,27521,119964,42209,14.50810252,63.24079834,22.25109914
35202,山口県,山口県宇部市,http://odcs.bodik.jp/352021/,169429,591.1,48,49.2,20513,96548,51303,12.18372099,57.34480055,30.47147846
35203,山口県,山口県山口市,http://aac-omap.com/ygmapdoc/?page_id=44,197422,192.9,46.3,46.6,26118,116106,53325,13.35624319,59.37437675,27.26938005
